net,length_um
_0790_,17.46µm
_1366_,17.46µm
_1376_,17.39µm
_0379_,17.38µm
_1166_,17.38µm
_0597_,17.24µm
_0058_,17.22µm
_0835_,17.2µm
_0740_,17.18µm
_0302_,17.14µm
_0063_,17.1µm
_0625_,16.96µm
_0314_,16.94µm
_0842_,16.8µm
_0956_,16.7µm
_0962_,16.7µm
_1330_,16.7µm
_0929_,16.62µm
_0479_,16.6µm
_0381_,16.54µm
_0430_,16.5µm
_0914_,16.5µm
_0851_,16.43µm
_0284_,16.4µm
_1115_,16.3µm
_1079_,16.22µm
_0797_,16.2µm
_1320_,16.18µm
_0773_,16.16µm
_1303_,16.16µm
_1098_,16.145µm
_0057_,16.14µm
_0960_,16.14µm
_1346_,16.1µm
_0371_,16.02µm
_1262_,16.02µm
_0212_,16µm
_0486_,15.94µm
_0520_,15.895µm
_0201_,15.87µm
_1323_,15.82µm
_0952_,15.8µm
_0745_,15.765µm
_0679_,15.76µm
_0162_,15.7µm
_1343_,15.7µm
_0619_,15.68µm
_0166_,15.6µm
_0225_,15.6µm
_0612_,15.6µm
_1072_,15.6µm
_1227_,15.6µm
_1353_,15.53µm
_0515_,15.5µm
_1094_,15.485µm
_1371_,15.48µm
_0483_,15.46µm
_0774_,15.44µm
_0252_,15.32µm
_0965_,15.3µm
_0031_,15.22µm
_0107_,15.22µm
_1266_,15.14µm
_0309_,15.12µm
_0065_,15.1µm
_0233_,15.06µm
_0017_,15.04µm
_0955_,15.02µm
_1260_,15.02µm
_0732_,15.01µm
_0529_,15µm
_0781_,14.94µm
_0841_,14.92µm
_1340_,14.92µm
_1050_,14.86µm
_0554_,14.8µm
_0533_,14.7µm
_1255_,14.7µm
clknet_0_clk,14.7µm
_0424_,14.68µm
_0567_,14.68µm
_0343_,14.65µm
_0526_,14.64µm
_0983_,14.5µm
_1204_,14.48µm
_0749_,14.44µm
_1296_,14.415µm
_0071_,14.4µm
_0744_,14.4µm
_0095_,14.36µm
_0512_,14.36µm
_0523_,14.34µm
graphics_core.dy\[1\],14.34µm
_0649_,14.32µm
_0566_,14.3µm
_0845_,14.3µm
_1319_,14.24µm
_0362_,14.22µm
_1059_,14.22µm
_0151_,14.205µm
_1073_,14.16µm
_0293_,14.1µm
_0462_,14.1µm
_0818_,14.1µm
_1337_,14.1µm
_0136_,14.08µm
_0889_,14.06µm
_0027_,14µm
_0991_,14µm
_0197_,13.99µm
_0248_,13.86µm
_0253_,13.86µm
_0984_,13.86µm
_1107_,13.84µm
_1365_,13.835µm
_0016_,13.82µm
_1091_,13.82µm
_0123_,13.74µm
_0074_,13.72µm
_1056_,13.72µm
_0111_,13.685µm
_0018_,13.68µm
_0082_,13.68µm
_1236_,13.68µm
_1062_,13.61µm
_0677_,13.6µm
_0709_,13.58µm
_0410_,13.54µm
_0595_,13.54µm
_1338_,13.5µm
_0025_,13.44µm
_1197_,13.42µm
_0105_,13.4µm
_1182_,13.4µm
_1084_,13.38µm
_0099_,13.35µm
_0338_,13.34µm
_0748_,13.34µm
_1031_,13.3µm
_1153_,13.3µm
_0616_,13.22µm
_0073_,13.2µm
_0163_,13.2µm
_0422_,13.16µm
_0491_,13.16µm
_0862_,13.16µm
_0950_,13.08µm
_1368_,13.08µm
_0053_,13µm
_1221_,13µm
_0852_,12.875µm
_1130_,12.86µm
_1022_,12.84µm
_0310_,12.8µm
_1278_,12.8µm
_0428_,12.76µm
_0662_,12.74µm
_0731_,12.72µm
_0547_,12.71µm
_0987_,12.7µm
_0174_,12.68µm
_0967_,12.68µm
_0606_,12.66µm
_0930_,12.6µm
_0934_,12.58µm
_0348_,12.54µm
_1033_,12.5µm
_1052_,12.48µm
_1132_,12.46µm
_0069_,12.42µm
net9,12.38µm
_0671_,12.34µm
_0981_,12.34µm
_0113_,12.32µm
_1117_,12.3µm
_0667_,12.24µm
uio_in[1],12.22µm
_0573_,12.16µm
_0733_,12.12µm
_0794_,12.1µm
_1225_,12.08µm
_1235_,12.08µm
_1254_,12.06µm
_0059_,12.04µm
_0564_,12.04µm
_1326_,12.04µm
_1373_,12.02µm
_0041_,12µm
_1032_,12µm
_1035_,12µm
_1161_,12µm
_0033_,11.98µm
_0532_,11.98µm
_0313_,11.96µm
_1067_,11.96µm
_1252_,11.93µm
_0168_,11.88µm
_0977_,11.88µm
_0868_,11.84µm
_0923_,11.82µm
_0341_,11.78µm
_0067_,11.76µm
_1016_,11.76µm
_0140_,11.74µm
_0363_,11.72µm
_1292_,11.72µm
_1009_,11.7µm
_0701_,11.66µm
_1301_,11.62µm
_0268_,11.58µm
_1336_,11.55µm
_0087_,11.54µm
_1140_,11.52µm
_1053_,11.5µm
_1285_,11.48µm
_1040_,11.47µm
_0792_,11.46µm
_1087_,11.44µm
_1149_,11.42µm
_0211_,11.38µm
_0417_,11.38µm
_1282_,11.345µm
graphics_core.y\[7\],11.3µm
_0861_,11.26µm
_0231_,11.24µm
_0706_,11.22µm
_0023_,11.2µm
_0811_,11.2µm
_0996_,11.16µm
_0347_,11.12µm
_1352_,11.1µm
_1141_,11.08µm
_0433_,11.04µm
_0908_,11.04µm
_1004_,11.04µm
_0652_,11.02µm
_0160_,10.98µm
_1291_,10.98µm
_0186_,10.96µm
_1129_,10.96µm
_1096_,10.915µm
_0966_,10.88µm
_0730_,10.82µm
_0970_,10.82µm
net17,10.82µm
_0751_,10.8µm
_0821_,10.8µm
_0240_,10.78µm
_0299_,10.74µm
_0045_,10.73µm
_0668_,10.7µm
_1216_,10.7µm
_1350_,10.7µm
_0000_,10.66µm
_0925_,10.55µm
_0557_,10.54µm
_1011_,10.54µm
_1290_,10.54µm
_0866_,10.525µm
_0772_,10.52µm
_0531_,10.46µm
_1136_,10.42µm
_0873_,10.4µm
_0224_,10.38µm
_1173_,10.36µm
_1195_,10.34µm
_0367_,10.32µm
_0661_,10.32µm
_0848_,10.315µm
_0184_,10.3µm
_1241_,10.29µm
_0720_,10.28µm
_0227_,10.26µm
_0757_,10.24µm
_0870_,10.24µm
_0943_,10.24µm
_0540_,10.22µm
_0178_,10.2µm
_0270_,10.2µm
_0458_,10.2µm
_0902_,10.2µm
_0903_,10.2µm
_0132_,10.18µm
_1186_,10.18µm
_0296_,10.16µm
_1261_,10.16µm
_0055_,10.12µm
_0237_,10.12µm
_1249_,10.1µm
_1055_,10.08µm
_0137_,10.04µm
_0871_,10.04µm
_1220_,10.04µm
_0251_,10.02µm
_0155_,10µm
_0266_,9.96µm
_1184_,9.96µm
_1293_,9.92µm
_0448_,9.88µm
_0628_,9.88µm
_1164_,9.86µm
_0121_,9.84µm
_1253_,9.84µm
_0337_,9.82µm
_1222_,9.82µm
_0467_,9.78µm
_1048_,9.78µm
_0896_,9.74µm
_0717_,9.7µm
_1108_,9.7µm
_1037_,9.66µm
_1269_,9.66µm
_1331_,9.66µm
_0061_,9.62µm
_0154_,9.62µm
_0675_,9.62µm
_1075_,9.62µm
_0946_,9.6µm
_0947_,9.6µm
_0728_,9.58µm
_1287_,9.58µm
_0358_,9.54µm
_0431_,9.54µm
_0103_,9.52µm
_1128_,9.52µm
_1125_,9.5µm
_0809_,9.48µm
_1008_,9.48µm
_1177_,9.48µm
_1289_,9.46µm
_1294_,9.46µm
uio_in[2],9.46µm
_0657_,9.44µm
_0795_,9.44µm
_0222_,9.4µm
_0446_,9.4µm
_0290_,9.38µm
_0610_,9.38µm
_0762_,9.38µm
_0927_,9.38µm
_1200_,9.38µm
net19,9.38µm
_1159_,9.36µm
_0777_,9.34µm
_0980_,9.34µm
_1113_,9.34µm
_0702_,9.3µm
_1001_,9.3µm
net65,9.28µm
_1272_,9.265µm
_0615_,9.26µm
_0072_,9.24µm
_0654_,9.24µm
_0655_,9.24µm
_1206_,9.235µm
_0036_,9.2µm
_0150_,9.2µm
_0632_,9.2µm
_1170_,9.185µm
_0051_,9.18µm
_0596_,9.16µm
_0305_,9.155µm
_0759_,9.14µm
_0185_,9.12µm
_0494_,9.12µm
_0815_,9.12µm
_1299_,9.07µm
_0454_,9.04µm
_0922_,9.04µm
_1210_,9.02µm
_1283_,9.02µm
_1148_,9µm
_1309_,9µm
_0169_,8.96µm
_0714_,8.96µm
_0196_,8.95µm
_0416_,8.94µm
_0613_,8.94µm
_1349_,8.94µm
_0039_,8.92µm
_1375_,8.92µm
_1354_,8.905µm
_0255_,8.9µm
_0316_,8.9µm
_0644_,8.9µm
_0963_,8.9µm
_1226_,8.9µm
_0048_,8.86µm
_0311_,8.86µm
_1288_,8.86µm
_1305_,8.82µm
_0297_,8.78µm
_0916_,8.78µm
_1307_,8.78µm
_0281_,8.7µm
_0624_,8.7µm
_0807_,8.7µm
_0832_,8.7µm
_1217_,8.7µm
_0524_,8.68µm
_1163_,8.68µm
_1196_,8.68µm
_0452_,8.66µm
_0513_,8.66µm
_0393_,8.64µm
_0204_,8.6µm
_0278_,8.6µm
_0372_,8.58µm
_0485_,8.58µm
_1038_,8.58µm
_0001_,8.56µm
_1165_,8.56µm
_0692_,8.54µm
_0349_,8.52µm
_1030_,8.52µm
_0008_,8.48µm
_1060_,8.48µm
_1134_,8.46µm
_0465_,8.44µm
_0690_,8.44µm
_0874_,8.44µm
_1013_,8.44µm
_0205_,8.4µm
_0294_,8.4µm
_0806_,8.4µm
_1214_,8.385µm
_1242_,8.38µm
_0142_,8.36µm
_1006_,8.36µm
_1244_,8.36µm
_1304_,8.36µm
_0056_,8.34µm
_0156_,8.34µm
_0474_,8.34µm
_0672_,8.34µm
_0180_,8.32µm
_0304_,8.32µm
_0325_,8.32µm
_0697_,8.32µm
_1054_,8.32µm
_0538_,8.24µm
_1002_,8.24µm
_1051_,8.24µm
_0330_,8.22µm
_0562_,8.22µm
_0695_,8.22µm
_0887_,8.22µm
_0898_,8.205µm
_0323_,8.2µm
_0775_,8.16µm
_0436_,8.14µm
_1374_,8.12µm
net7,8.105µm
_0125_,8.1µm
_0219_,8.1µm
_0440_,8.1µm
_0665_,8.1µm
_0972_,8.1µm
_0558_,8.06µm
_0905_,8.06µm
_0438_,8.04µm
_0684_,8.02µm
_0944_,8.02µm
_0283_,8µm
_0528_,8µm
_0682_,8µm
_0969_,8µm
_0307_,7.98µm
_0642_,7.98µm
_0785_,7.98µm
_1109_,7.98µm
_1328_,7.98µm
_1345_,7.98µm
_0805_,7.96µm
_0565_,7.94µm
_0245_,7.92µm
_1017_,7.92µm
_0517_,7.9µm
_0582_,7.9µm
_1042_,7.9µm
_1306_,7.9µm
_1121_,7.89µm
_0589_,7.88µm
_0171_,7.86µm
_0992_,7.86µm
_0650_,7.84µm
_0434_,7.82µm
_0830_,7.78µm
_1124_,7.78µm
_0024_,7.7µm
_0235_,7.7µm
_0588_,7.7µm
