Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_59_273,VGND,li1,129.0300,168.6400,0.000007
FILLER_59_270,VGND,li1,127.6500,168.6400,0.000008
FILLER_59_267,VGND,li1,126.2700,168.6400,0.000008
FILLER_59_264,VGND,li1,124.8900,168.6400,0.000008
FILLER_59_261,VGND,li1,123.5100,168.6400,0.000009
FILLER_59_258,VGND,li1,122.1300,168.6400,0.000010
FILLER_59_255,VGND,li1,120.7500,168.6400,0.000010
FILLER_59_252,VGND,li1,119.3700,168.6400,0.000010
FILLER_59_249,VGND,li1,117.9900,168.6400,0.000011
FILLER_59_246,VGND,li1,116.6100,168.6400,0.000011
FILLER_59_243,VGND,li1,115.2300,168.6400,0.000012
FILLER_59_240,VGND,li1,113.8500,168.6400,0.000012
FILLER_59_237,VGND,li1,112.4700,168.6400,0.000013
FILLER_59_234,VGND,li1,111.0900,168.6400,0.000013
FILLER_59_231,VGND,li1,109.7100,168.6400,0.000014
FILLER_59_228,VGND,li1,108.3300,168.6400,0.000014
FILLER_59_225,VGND,li1,106.9500,168.6400,0.000015
FILLER_59_222,VGND,li1,105.3400,168.6400,0.000016
FILLER_59_219,VGND,li1,104.1900,168.6400,0.000016
FILLER_59_216,VGND,li1,102.8100,168.6400,0.000017
FILLER_59_213,VGND,li1,101.4300,168.6400,0.000017
FILLER_59_186,VGND,li1,88.7800,168.6400,0.000029
FILLER_59_176,VGND,li1,84.1800,168.6400,0.000029
FILLER_59_157,VGND,li1,75.4400,168.6400,0.000027
FILLER_59_153,VGND,li1,73.3700,168.6400,0.000026
FILLER_59_150,VGND,li1,72.4500,168.6400,0.000026
FILLER_59_135,VGND,li1,65.5500,168.6400,0.000021
FILLER_59_132,VGND,li1,64.1700,168.6400,0.000019
FILLER_59_123,VGND,li1,59.5700,168.6400,0.000014
FILLER_59_120,VGND,li1,58.6500,168.6400,0.000014
FILLER_59_117,VGND,li1,57.2700,168.6400,0.000014
FILLER_59_110,VGND,li1,53.8200,168.6400,0.000014
FILLER_59_102,VGND,li1,49.9100,168.6400,0.000013
FILLER_59_99,VGND,li1,48.9900,168.6400,0.000012
FILLER_59_96,VGND,li1,47.6100,168.6400,0.000012
FILLER_59_93,VGND,li1,46.2300,168.6400,0.000011
FILLER_59_90,VGND,li1,44.8500,168.6400,0.000011
FILLER_59_87,VGND,li1,43.4700,168.6400,0.000011
FILLER_59_84,VGND,li1,42.0900,168.6400,0.000010
FILLER_59_81,VGND,li1,40.7100,168.6400,0.000009
FILLER_59_78,VGND,li1,39.3300,168.6400,0.000009
FILLER_59_75,VGND,li1,37.9500,168.6400,0.000008
FILLER_59_72,VGND,li1,36.5700,168.6400,0.000008
FILLER_59_69,VGND,li1,35.1900,168.6400,0.000008
FILLER_59_66,VGND,li1,33.8100,168.6400,0.000008
FILLER_59_63,VGND,li1,32.4300,168.6400,0.000007
FILLER_59_60,VGND,li1,31.0500,168.6400,0.000007
FILLER_59_57,VGND,li1,29.6700,168.6400,0.000006
FILLER_59_54,VGND,li1,28.0600,168.6400,0.000005
FILLER_59_51,VGND,li1,26.9100,168.6400,0.000005
FILLER_59_48,VGND,li1,25.5300,168.6400,0.000005
FILLER_59_45,VGND,li1,24.1500,168.6400,0.000004
FILLER_59_42,VGND,li1,22.7700,168.6400,0.000004
FILLER_59_39,VGND,li1,21.3900,168.6400,0.000003
FILLER_59_36,VGND,li1,20.0100,168.6400,0.000003
FILLER_59_33,VGND,li1,18.6300,168.6400,0.000003
FILLER_59_30,VGND,li1,17.2500,168.6400,0.000003
FILLER_59_27,VGND,li1,15.8700,168.6400,0.000003
FILLER_59_24,VGND,li1,14.4900,168.6400,0.000003
FILLER_59_21,VGND,li1,13.1100,168.6400,0.000003
FILLER_59_18,VGND,li1,11.7300,168.6400,0.000003
FILLER_59_15,VGND,li1,10.3500,168.6400,0.000003
FILLER_59_12,VGND,li1,8.9700,168.6400,0.000003
FILLER_59_9,VGND,li1,7.5900,168.6400,0.000003
FILLER_59_6,VGND,li1,6.2100,168.6400,0.000003
FILLER_58_360,VGND,li1,168.5900,163.2000,0.000007
FILLER_58_357,VGND,li1,167.6700,163.2000,0.000007
FILLER_58_354,VGND,li1,166.2900,163.2000,0.000007
FILLER_58_351,VGND,li1,164.9100,163.2000,0.000007
FILLER_58_348,VGND,li1,163.5300,163.2000,0.000007
FILLER_58_345,VGND,li1,162.1500,163.2000,0.000007
FILLER_58_342,VGND,li1,160.7700,163.2000,0.000007
FILLER_58_339,VGND,li1,159.3900,163.2000,0.000007
FILLER_58_336,VGND,li1,158.0100,163.2000,0.000007
FILLER_58_333,VGND,li1,156.6300,163.2000,0.000007
FILLER_58_330,VGND,li1,155.2500,163.2000,0.000007
FILLER_58_327,VGND,li1,153.8700,163.2000,0.000007
FILLER_58_324,VGND,li1,152.4900,163.2000,0.000007
FILLER_58_321,VGND,li1,151.1100,163.2000,0.000007
FILLER_58_318,VGND,li1,149.7300,163.2000,0.000007
FILLER_58_315,VGND,li1,148.3500,163.2000,0.000007
FILLER_58_312,VGND,li1,146.9700,163.2000,0.000007
FILLER_58_309,VGND,li1,145.5900,163.2000,0.000007
FILLER_58_307,VGND,li1,144.2100,163.2000,0.000007
FILLER_58_304,VGND,li1,143.2900,163.2000,0.000007
FILLER_58_301,VGND,li1,141.9100,163.2000,0.000007
FILLER_58_298,VGND,li1,140.5300,163.2000,0.000007
FILLER_58_295,VGND,li1,139.1500,163.2000,0.000007
FILLER_58_292,VGND,li1,137.7700,163.2000,0.000008
FILLER_58_289,VGND,li1,136.3900,163.2000,0.000008
FILLER_58_286,VGND,li1,135.0100,163.2000,0.000009
FILLER_58_283,VGND,li1,133.6300,163.2000,0.000011
FILLER_58_280,VGND,li1,132.2500,163.2000,0.000011
FILLER_58_277,VGND,li1,130.8700,163.2000,0.000012
FILLER_58_274,VGND,li1,129.4900,163.2000,0.000013
FILLER_58_271,VGND,li1,128.1100,163.2000,0.000013
FILLER_58_268,VGND,li1,126.7300,163.2000,0.000015
FILLER_58_265,VGND,li1,125.3500,163.2000,0.000016
FILLER_58_262,VGND,li1,123.9700,163.2000,0.000016
FILLER_58_259,VGND,li1,122.5900,163.2000,0.000017
FILLER_58_256,VGND,li1,121.2100,163.2000,0.000019
FILLER_58_253,VGND,li1,119.8300,163.2000,0.000019
FILLER_58_249,VGND,li1,117.9900,163.2000,0.000020
FILLER_58_246,VGND,li1,116.6100,163.2000,0.000022
FILLER_58_243,VGND,li1,115.2300,163.2000,0.000022
FILLER_58_240,VGND,li1,113.8500,163.2000,0.000024
FILLER_58_237,VGND,li1,112.4700,163.2000,0.000024
FILLER_58_234,VGND,li1,111.0900,163.2000,0.000026
FILLER_58_231,VGND,li1,109.7100,163.2000,0.000026
FILLER_58_228,VGND,li1,108.3300,163.2000,0.000026
FILLER_58_225,VGND,li1,106.9500,163.2000,0.000026
FILLER_58_222,VGND,li1,105.5700,163.2000,0.000026
FILLER_58_219,VGND,li1,104.1900,163.2000,0.000026
FILLER_58_216,VGND,li1,102.8100,163.2000,0.000026
FILLER_58_213,VGND,li1,101.4300,163.2000,0.000025
FILLER_58_210,VGND,li1,100.0500,163.2000,0.000025
FILLER_58_200,VGND,li1,95.4500,163.2000,0.000031
FILLER_58_197,VGND,li1,94.0700,163.2000,0.000032
FILLER_58_194,VGND,li1,92.4600,163.2000,0.000033
FILLER_58_186,VGND,li1,89.0100,163.2000,0.000034
FILLER_58_180,VGND,li1,86.2500,163.2000,0.000034
FILLER_58_177,VGND,li1,84.8700,163.2000,0.000033
FILLER_58_174,VGND,li1,83.4900,163.2000,0.000033
FILLER_58_171,VGND,li1,82.1100,163.2000,0.000033
FILLER_58_168,VGND,li1,80.7300,163.2000,0.000033
FILLER_58_147,VGND,li1,71.0700,163.2000,0.000030
FILLER_58_144,VGND,li1,69.6900,163.2000,0.000029
FILLER_58_141,VGND,li1,68.3100,163.2000,0.000029
FILLER_58_138,VGND,li1,66.7000,163.2000,0.000027
